Date,Precaution,Category
3/16/20,Border Close,Border
7/1/20,Border Open,Border
12/22/20,Border Close,Border
4/6/21,Border Open,Border
3/19/20,Workplace Closures,Workplace
6/1/21,Workplace Reopen to most,Workplace
3/19/20,Schools Close,School
5/11/21,Some Schools Reopen,School
8/21/21,Schools Reopen,School
3/17/20,No Gatherings over 100 people,Public Gatherings
11/7/21,Public Gatherings allowed,Public Gatherings
5/1/20,Masking Required in public,Masking
2/16/22,Masking not required,Masking
3/20/20,Movement within country restricted,Movement within Country
10/7/20,Movement within country reopened,Movement within Country
9/14/21,Movement within country restricted,Movement within Country
10/10/21,Movement within country reopened,Movement within Country